material_id,material_name,material_type,unit_of_measure,standard_cost,criticality,abc_class
MAT-00382,PVC Housing-L,Electronic,M,13.09,Medium,A
MAT-00383,Zinc-Coated Stator Core 21mm,Raw Material,M,22.95,Low,A
MAT-00384,PVC Connector 48mm,Component,SET,0.76,Medium,C
MAT-00385,Rubber Filter Cartridge-L,Component,EA,7.35,Medium,C
MAT-00386,Rubber Sensor 33mm,Component,EA,4.58,High,C
MAT-00387,Chrome-Plated Rotor,Component,M,20.62,Medium,A
MAT-00388,Bronze Relay,Component,KG,17.93,Medium,B
MAT-00389,Rubber Connector-L,Component,KG,11.13,Medium,B
MAT-00390,Rubber Filter Cartridge 16mm,Component,KG,25.42,High,C
MAT-00391,Carbon Steel Valve Body-M,Raw Material,EA,3.32,Low,C
MAT-00392,Stainless Steel Valve Body-S,Component,KG,48.0,Medium,C
MAT-00393,Galvanized Steel Cable Gland-L,Raw Material,KG,16.57,Low,B
MAT-00394,Brass Sprocket,Component,EA,17.96,Medium,C
MAT-00395,Bronze Chain Link 49mm,Component,EA,60.3,Medium,C
MAT-00396,Carbon Steel Shaft,Component,EA,10.12,High,C
MAT-00397,Ceramic Filter Cartridge,Electronic,SET,2.95,High,B
MAT-00398,Aluminum Nozzle-M,Raw Material,EA,6.9,High,A
MAT-00399,Nylon Circuit Board-XL,Electronic,KG,82.56,Low,C
MAT-00400,PVC Bracket-S,Packaging,KG,27.83,High,C
MAT-00401,Aluminum Diaphragm 27mm,Component,KG,5.14,Medium,C
MAT-00402,Copper Connector 45mm,Component,EA,103.75,Medium,C
MAT-00403,Cast Iron Nozzle,Raw Material,KG,52.94,Low,B
MAT-00404,Nylon Terminal Block 25mm,Component,M,13.34,High,A
MAT-00405,Stainless Steel Diaphragm-L,Electronic,M,9.47,Medium,B
MAT-00406,Chrome-Plated Shaft 40mm,Component,EA,16.68,Low,A
MAT-00407,Ceramic Nozzle,Component,EA,25.15,Low,C
MAT-00408,Cast Iron Spring-L,Component,EA,12.03,Low,C
MAT-00409,PVC Bearing,Electronic,KG,8.7,Low,A
MAT-00410,Brass Chain Link,Component,M,14.88,Medium,C
MAT-00411,Carbon Steel Circuit Board 74mm,Raw Material,EA,5.26,High,A
MAT-00412,Aluminum Gasket-XL,Electronic,EA,6.6,Medium,B
MAT-00413,Galvanized Steel Wiring Harness,Component,EA,11.24,High,C
MAT-00414,Nylon Diaphragm-M,Raw Material,KG,12.37,Low,A
MAT-00415,Copper Wiring Harness 43mm,Raw Material,EA,10.26,Medium,C
MAT-00416,Rubber Stator Core,Component,EA,8.08,Low,C
MAT-00417,Aluminum Terminal Block-S,Raw Material,EA,10.93,Low,C
MAT-00418,Rubber Pulley 76mm,Electronic,EA,2.88,Low,B
MAT-00419,Cast Iron Housing,Component,L,60.46,Medium,C
MAT-00420,Copper Bracket,Packaging,EA,9.79,High,C
MAT-00421,Bronze Valve Body-XL,Raw Material,M,13.71,Low,C
MAT-00422,PVC O-Ring 35mm,Component,EA,7.32,Medium,C
MAT-00423,Bronze Valve Body-S,Raw Material,EA,6.07,Medium,A
MAT-00424,Rubber Circuit Board,Raw Material,EA,16.33,Medium,B
MAT-00425,Nylon Sprocket-M,Raw Material,EA,4.38,Low,C
MAT-00426,Stainless Steel Chain Link-XL,Component,EA,4.03,Medium,C
MAT-00427,Carbon Steel Filter Cartridge,Packaging,EA,2.36,Low,C
MAT-00428,Galvanized Steel Cable Gland,Electronic,L,18.52,Low,C
MAT-00429,Ceramic Shaft-XL,Component,M,11.56,Medium,B
MAT-00430,Aluminum Sensor,Raw Material,KG,15.39,Low,C
MAT-00431,Nylon O-Ring,Packaging,EA,6.88,Medium,B
MAT-00432,Bronze Relay-L,Component,KG,5.39,Low,B
MAT-00433,Galvanized Steel Shaft,Electronic,KG,3.13,Low,A
MAT-00434,Stainless Steel Bolt Set-M,Raw Material,EA,3.07,High,B
MAT-00435,Stainless Steel Wiring Harness,Fastener,EA,18.26,High,A
MAT-00436,Nylon Terminal Block-XL,Fastener,EA,7.32,Medium,B
MAT-00437,Zinc-Coated Nozzle 76mm,Raw Material,EA,7.28,Low,B
MAT-00438,Carbon Steel Diaphragm-XL,Raw Material,EA,45.91,High,B
MAT-00439,Carbon Steel Valve Body,Component,M,13.3,Medium,B
MAT-00440,Rubber Sprocket 55mm,Component,KG,4.82,Medium,B
MAT-00441,Ceramic Spring-L,Fastener,M,73.73,Low,B
MAT-00442,PVC Switch-L,Electronic,EA,22.0,Medium,C
MAT-00443,Nylon Pulley-S,Component,KG,9.77,Medium,A
MAT-00444,Rubber Bushing,Raw Material,EA,7.15,Low,A
MAT-00445,Rubber Cable Gland 59mm,Raw Material,EA,5.73,Medium,C
MAT-00446,Stainless Steel Stator Core 66mm,Electronic,KG,71.98,High,C
MAT-00447,Nylon Valve Body,Component,EA,5.56,Low,C
MAT-00448,Zinc-Coated Flange-S,Electronic,EA,28.35,Medium,B
MAT-00449,Aluminum Chain Link 9mm,Raw Material,EA,18.25,Medium,B
MAT-00450,Ceramic Circuit Board,Fastener,M,10.63,Medium,B
MAT-00451,Aluminum Sensor-S,Component,KG,32.3,Low,C
MAT-00452,Stainless Steel Housing-S,Component,EA,6.23,Low,C
MAT-00453,Zinc-Coated Bracket 43mm,Raw Material,EA,69.15,High,B
MAT-00454,Ceramic Bolt Set-M,Fastener,L,10.77,Medium,C
MAT-00455,Aluminum Valve Body 77mm,Raw Material,M,2.5,Low,C
MAT-00456,Zinc-Coated O-Ring,Component,EA,0.88,Low,B
MAT-00457,Carbon Steel Flange,Raw Material,KG,7.04,Medium,A
MAT-00458,Stainless Steel Bracket,Packaging,EA,8.21,Low,C
MAT-00459,Copper Impeller-XL,Raw Material,SET,9.78,Low,C
MAT-00460,Stainless Steel Pulley 76mm,Component,EA,6.23,Medium,C
MAT-00461,Zinc-Coated Stator Core,Component,EA,18.53,Low,B
MAT-00462,PVC Stator Core 51mm,Raw Material,EA,23.42,Low,C
MAT-00463,Cast Iron Connector 67mm,Fastener,EA,1.1,High,C
MAT-00464,Copper Stator Core 50mm,Component,EA,38.48,Low,C
MAT-00465,Ceramic Pulley-L,Packaging,EA,1.93,High,B
MAT-00466,Ceramic Connector,Raw Material,M,9.65,Low,A
MAT-00467,Galvanized Steel Nozzle,Raw Material,EA,0.37,Medium,B
MAT-00468,Zinc-Coated Switch 22mm,Raw Material,EA,5.98,Low,C
MAT-00469,PVC O-Ring 66mm,Component,KG,50.63,High,C
MAT-00470,Chrome-Plated Bracket-XL,Raw Material,EA,3.51,Medium,B
MAT-00471,PVC Switch 12mm,Component,EA,3.83,Low,B
MAT-00472,Carbon Steel Bushing 45mm,Component,EA,39.0,High,B
MAT-00473,Aluminum Stator Core-L,Fastener,M,1.41,Medium,C
MAT-00474,Zinc-Coated Housing,Raw Material,EA,0.93,Medium,C
MAT-00475,Galvanized Steel Connector,Component,M,14.97,Medium,A
MAT-00476,Ceramic Coupling-L,Electronic,EA,38.09,Low,C
MAT-00477,Carbon Steel Connector 19mm,Component,EA,4.02,Low,B
MAT-00478,Chrome-Plated Rotor,Component,EA,19.96,High,C
MAT-00479,Ceramic Bolt Set 37mm,Component,EA,33.61,Low,C
MAT-00480,Carbon Steel Impeller 54mm,Raw Material,KG,15.27,Low,A
MAT-00481,Galvanized Steel Gasket,Raw Material,EA,34.4,High,C
MAT-00482,Rubber Terminal Block 25mm,Packaging,EA,10.85,Medium,C
MAT-00483,Brass Rotor 36mm,Component,EA,6.97,Low,B
MAT-00484,Aluminum Seal,Component,KG,10.57,Medium,A
MAT-00485,Galvanized Steel Connector-M,Component,EA,12.39,Medium,B
MAT-00486,Ceramic Impeller,Component,EA,21.37,High,C
MAT-00487,Chrome-Plated Pulley,Component,M,50.13,Low,B
MAT-00488,Nylon Diaphragm-XL,Raw Material,M,2.73,Low,B
MAT-00489,Copper Sprocket 19mm,Component,EA,1.01,Medium,C
MAT-00490,Nylon Filter Cartridge-S,Packaging,KG,6.8,High,C
MAT-00491,Brass Bolt Set-XL,Component,KG,2.46,High,B
MAT-00492,Brass Flange 56mm,Raw Material,EA,14.8,Medium,C
MAT-00493,Aluminum Sprocket,Component,EA,33.07,Medium,C
MAT-00494,Ceramic Sensor-M,Raw Material,EA,110.64,Medium,C
MAT-00495,Galvanized Steel Impeller 75mm,Electronic,EA,27.43,Medium,C
MAT-00496,Bronze Seal,Fastener,M,20.57,Medium,C
MAT-00497,Brass Sensor 52mm,Raw Material,EA,43.71,Medium,C
MAT-00498,PVC Sprocket,Raw Material,EA,11.88,High,C
MAT-00499,Stainless Steel Bearing,Electronic,EA,47.69,Medium,B
MAT-00500,Cast Iron Stator Core,Fastener,EA,46.05,Medium,C
